Obj,Count
AI,126
Air Defense,78
5G/6G,64
Maritime Navigation,6
Space Communication,6
Autonomous Vehicles,3
Internet of Things (IoT),19
Geological Exploration,2
Radar X-Band,9
Satellite Communication,6
Free-Space Optical Communications (FSO),3
Phased Array Antennas,32
Monitoring,15
"Vector Network Analyzers, VNAs",22
"ISR, Intelligence, Surveillance, and Reconnaissance",3
"CBRN, Chemical, Biological, Radiological, and Nuclear",4
"PMCW, Phase Modulated Continuous Wave radars",8
Field RF Analyzer,2
