title,date,full_text,link
 Keysight Enables SGS to Conduct Testing for Skylo Non-Terrestrial Networks Certification Program,"June 28, 2024","Keysight Technologies, Inc. announces that its RF/RRM Carrier Acceptance Toolset (RCAT) has enabled SGS to become a facilitator for the Skylo Technologies non-terrestrial network (NTN) device certification program.",https://www.microwavejournal.com/articles/42288-keysight-enables-sgs-to-conduct-testing-for-skylo-non-terrestrial-networks-certification-program
Ericsson Mobility Report: 5G Driving Change in Service Providers’ FWA Strategies,"June 26, 2024","Ericsson
has released the June 2024 Ericsson Mobility report. 
",https://www.microwavejournal.com/articles/42282-ericsson-mobility-report-5g-driving-change-in-service-providers-fwa-strategies
Keysight Streamlines and Automates Samsung Semiconductor India Research’s 5G Field-to-Lab Workflow,"June 25, 2024","Keysight Technologies, Inc. announces that Samsung Semiconductor India Research (SSIR) has selected the Keysight Signaling Field-To-Lab (S-FTL) solution to streamline and automate its 5G field-to-lab workflow in its Bengaluru lab. 
",https://www.microwavejournal.com/articles/42277-keysight-streamlines-and-automates-samsung-semiconductor-india-researchs-5g-field-to-lab-workflow
"Mobix Labs Collaborates with THW to Develop Low-Cost, Energy-Efficient 5G Base Station Solutions","June 21, 2024","Mobix Labs announced a strategic partnership with TalkingHeads Wireless (THW) to develop a new generation of cost-effective, energy-efficient 5G base stations. ",https://www.microwavejournal.com/articles/42263-mobix-labs-collaborates-with-thw-to-develop-low-cost-energy-efficient-5g-base-station-solutions
ETS-Lindgren and Anritsu Collaborate to Advance NTN Device Testing,"June 14, 2024","Anritsu and ETS-Lindgren announced test support for devices using narrowband non-terrestrial network (NB-NTN) protocol.
",https://www.microwavejournal.com/articles/42210-ets-lindgren-and-anritsu-collaborate-to-advance-ntn-device-testing
"Ericsson, 3 Denmark, TV 2 and Sony Successfully Trialed Broadcast Over 5G SA Network ","June 13, 2024","Ericsson, in collaboration with 3 Denmark, TV 2 and Sony, has successfully trialed a live television broadcast of a high-profile football match over a 5G standalone (SA) network.",https://www.microwavejournal.com/articles/42249-ericsson-3-denmark-tv-2-and-sony-successfully-trialed-broadcast-over-5g-sa-network
"Mavenir, Qualcomm and EchoStar Achieve Industry-First 5G Open RAN RedCap Demonstration on the Boost Mobile Network","June 3, 2024","Mavenir, Qualcomm and EchoStar successfully demonstrated the Reduced Capability (RedCap) 5G capabilities of its Open virtualized Radio Access Network (Open vRAN) solution on the Boost Mobile Network in the U.S. 
",https://www.microwavejournal.com/articles/42102-mavenir-qualcomm-and-echostar-achieve-industry-first-5g-open-ran-redcap-demonstration-on-the-boost-mobile-network
Rohde & Schwarz First to Achieve TPAC for NTN NB-IoT RF and RRM Conformance Test Cases,"May 30, 2024","At the recent CAG meeting #78 of the GCF, Rohde & Schwarz verified NTN NB-IoT test cases for RF and RRM, successfully meeting all test platform approval criteria.",https://www.microwavejournal.com/articles/42057-rohde-and-schwarz-first-to-achieve-tpac-for-ntn-nb-iot-rf-and-rrm-conformance-test-cases
Qorvo® Unveils Industry’s Highest Gain Pre-Driver for 5G mMIMO,"May 29, 2024","Qorvo® announced the industry’s highest gain pre-driver providing 39 dB gain at 3.5 GHz and achieving a peak power of +29 dBm. 
",https://www.microwavejournal.com/articles/42052-qorvo-unveils-industrys-highest-gain-pre-driver-for-5g-mmimo
Rohde & Schwarz and VIAVI Solutions Unveil Open RAN and NTN Test Solutions,"May 22, 2024",Rohde & Schwarz and Viavi Solutions Inc announced an expansion of their partnership for joint wireless lab test solutions. ,https://www.microwavejournal.com/articles/42021-rohde-and-schwarz-and-viavi-solutions-unveil-open-ran-and-ntn-test-solutions
