title,date,full_text,link
TTP’s Intersatellite Data Relay Terminal to be Launched into Space by SSTL,"June 26, 2024","TTP announced the impending launch of a new data relay terminal into space with Surrey Satellite Technology Ltd (SSTL). 
",https://www.microwavejournal.com/articles/42281-ttps-intersatellite-data-relay-terminal-to-be-launched-into-space-by-sstl
AARTOS Drone Detection System by AARONIA Impresses as Solution for Flexible and Powerful CUAVs,"June 24, 2024","AARONIA AG offers highly adaptable solutions for all requirements and budgets with its four different variants of the AARTOS DDS.
",https://www.microwavejournal.com/articles/42269-aartos-drone-detection-system-by-aaronia-impresses-as-solution-for-flexible-and-powerful-cuavs
Edge and Thales Announce Partnership for Radio Communications Development and Manufacturing in the UAE,"June 24, 2024","KATIM, an EDGE Group entity, and Thales will start discussing the co-development of software-defined radio technologies in the United Arab Emirates (UAE). 
",https://www.microwavejournal.com/articles/42268-edge-and-thales-announce-partnership-for-radio-communications-development-and-manufacturing-in-the-uae
Honeywell to Acquire CAES,"June 20, 2024",Honeywell announced that it has agreed to acquire CAES Systems Holdings LLC (CAES) from private equity firm Advent International for approximately $1.9 billion in an all-cash transaction. ,https://www.microwavejournal.com/articles/42251-honeywell-to-acquire-caes
CesiumAstro Secures $65M in Oversubscribed Funding Round,"June 19, 2024",CesiumAstro Inc. announced the closing of a $65 million Series B+ funding round. ,https://www.microwavejournal.com/articles/42242-cesiumastro-secures-65m-in-oversubscribed-funding-round
CML Launches Ka-Band GaN PA for Cost-Effective Development of Commercial Satcom Terminals,"June 17, 2024",CML Micro has announced the launch of a Ka-Band GaN power amplifier that represents a cost-effective building block for commercial high volume satellite communication terminals.,https://www.microwavejournal.com/articles/42233-cml-launches-ka-band-gan-pa-for-cost-effective-development-of-commercial-satcom-terminals
Gilat to Acquire Stellar Blu,"June 17, 2024","Gilat Satellite Networks Ltd. announced that it has signed a definitive agreement to acquire Stellar Blu Solutions LLC, which will become a core component of Gilat’s IFC growth strategy.",https://www.microwavejournal.com/articles/42225-gilat-to-acquire-stellar-blu
Creomagic Unveils Cognitive Communication Capabilities Countering EW Threats,"June 17, 2024","Creomagic Ltd. unveils its latest CreoNet EW capabilities. 

",https://www.microwavejournal.com/articles/42219-creomagic-unveils-cognitive-communication-capabilities-countering-ew-threats
"Thales, Spire Global and ESSP to Develop a Space–Based Air Traffic Surveillance Service","June 14, 2024","Thales, Spire Global and European Satellite Services Provider (ESSP) have signed a Memorandum of Cooperation with the goal of introducing a range of innovative global satellite-based surveillance services to the air traffic management (ATM) industry and broader aviation market. 
",https://www.microwavejournal.com/articles/42213-thales-spire-global-and-essp-to-develop-a-spacebased-air-traffic-surveillance-service
Pixus Announces a Mini Cube Test Chassis for SOSA Aligned & OpenVPX,"June 11, 2024",Pixus Technologies released their most compact test/development chassis dubbed the Mini Cube. ,https://www.microwavejournal.com/articles/42179-pixus-announces-a-mini-cube-test-chassis-for-sosa-aligned-and-openvpx
RTX Awarded $677M US Navy Contract for SPY-6 Family of Radars,"June 10, 2024","Raytheon was awarded a $677 million contract to continue to produce AN/SPY-6(V) radars for the U.S. Navy. 
",https://www.microwavejournal.com/articles/42178-rtx-awarded-677m-us-navy-contract-for-spy-6-family-of-radars
Polish Armed Forces Enhance Safety and Operational Efficiency with ATC Radio Communications from Rohde & Schwarz,"June 5, 2024",Rohde & Schwarz announced the contract award by the Polish Armaments Agency for the delivery of multiple VHF/UHF R&S M3SR Series4400 software-defined radio stations of the SOVERON family for air traffic control.,https://www.microwavejournal.com/articles/42099-polish-armed-forces-enhance-safety-and-operational-efficiency-with-atc-radio-communications-from-rohde-and-schwarz
Lockheed Martin Canada Awards L3Harris the Integrated Communications System Contract,"May 31, 2024","Lockheed Martin Canada has awarded L3Harris Technologies the Integrated Communications System for the Canadian Surface Combatant (CSC) of the Royal Canadian Navy (RCN), aimed at bolstering their operational efficacy and security on maritime missions.",https://www.microwavejournal.com/articles/42069-lockheed-martin-canada-awards-l3harris-the-integrated-communications-system-contract
Aitech Announces 10/40GbE Fully Managed Ethernet Switch/Router on XMC Form Factor,"May 30, 2024","Aitech Systems has released the M622, a unique and fully managed 10GbE/40GbE Ethernet switch/router on an XMC.
",https://www.microwavejournal.com/articles/42063-aitech-announces-10-40gbe-fully-managed-ethernet-switch-router-on-xmc-form-factor
Comprehensive Software-Suite:    R&S®GSACSM,"May 29, 2024","Rohde & Schwarz has introduced R&S®GSACSM, a comprehensive software-suite designed to ensure efficient and reliable communications for military satellite communication (SATCOM) systems. ",https://www.microwavejournal.com/articles/42050-rohde-and-schwarz-introduces-r-and-sgsacsm
U.S. Navy Awards Leonardo DRS Radar Design Agent and Engineering Services for AN/SPQ-9B,"May 28, 2024","Leonardo DRS, Inc. announced that it was awarded a contract from NAVSEA to provide AN/SPQ-9B radar design agent and engineering services. ",https://www.microwavejournal.com/articles/42049-us-navy-awards-leonardo-drs-radar-design-agent-and-engineering-services-for-an-spq-9b
Hughes Unveils Revolutionary Commercial Aviation LEO ESA at AIX,"May 28, 2024","Hughes Network Systems, LLC unveiled its groundbreaking low earth orbit electronically steerable antenna (ESA) for in-flight entertainment and connectivity at the Aircraft Interiors Expo (AIX). ",https://www.microwavejournal.com/articles/42044-hughes-unveils-revolutionary-commercial-aviation-leo-esa-at-aix
Hanwha Phasor and Lufthansa Technik to Expand on Strategic Partnership,"May 28, 2024","In an extended agreement, Lufthansa Technik will design, build and supply hundreds of fuselage-mounted satellite communications radomes, the aerodynamic cover for Hanwha Phasor’s Phasor A7700 – an active electronically steered antenna designed for commercial and military aviation. 
",https://www.microwavejournal.com/articles/42039-hanwha-phasor-and-lufthansa-technik-to-expand-on-strategic-partnership
New High Speed Connectivity and IFE Retrofit Solution for 50 Plus Narrow-body Airline Fleet,"May 28, 2024","Eclipse Global Connectivity, ThinKom, Kontron and Display Interactive have embarked on an innovative collaboration to retrofit a fleet of more than 50 narrow-body aircraft with the ultimate high speed connectivity.
",https://www.microwavejournal.com/articles/42038-new-high-speed-connectivity-and-ife-retrofit-solution-for-50-plus-narrow-body-airline-fleet
Celestia TTi Brings Unique GaN-Based SSPAs in DBS Band to Broadcast Satcom,"May 22, 2024","Celestia TTi's new generation of GaN solid-state power amplifiers (SSPAs) in DBS can deliver up to 54.8 dBm/57.4 dBm/52 dBm at P LINEAR from a highly compact footprint.
",https://www.microwavejournal.com/articles/42026-celestia-tti-brings-unique-gan-based-sspas-in-dbs-band-to-broadcast-satcom
U.S. Army Awards Lockheed Martin $756M Hypersonic Weapon System Contract,"May 22, 2024","The U.S. Army awarded Lockheed Martin a $756 million contract to deliver additional capability for the nation’s ground-based hypersonic weapon system, the Long Range Hypersonic Weapon (LRHW).  ",https://www.microwavejournal.com/articles/42019-us-army-awards-lockheed-martin-756m-hypersonic-weapon-system-contract
Exolaunch Announces Contract with Spain’s Sateliot for Launch and Deployment Services,"May 17, 2024","A new agreement between Exolaunch and Sateliot has been announced, whre Exolaunch will support the launch and deployment of Sateliot's next four 5G NB-IoT satellites during an upcoming Rideshare mission with SpaceX.",https://www.microwavejournal.com/articles/41998-exolaunch-announces-contract-with-spains-sateliot-for-launch-and-deployment-services
dB Control Awarded $10M Orders for mmWave MPMs and TWTAs,"May 16, 2024",dB Control was awarded two contracts worth a total of $10.8 million for mmWave microwave power modules and travelling wave tube amplifiers to support secure satellite communications. ,https://www.microwavejournal.com/articles/41992-db-control-awarded-10m-orders-for-mmwave-mpms-and-twtas
Echodyne EchoFlight Radar Integrated Into AATI’s BVLOS Unmanned Aircraft,"May 15, 2024","Echodyne announced its EchoFlight radar is integrated into the American Aerospace Technologies, Inc. (AATI) AiRanger aircraft, which recently obtained a waiver from the FAA for commercial beyond visual line-of-sight (BVLOS) flight operations. 
",https://www.microwavejournal.com/articles/41989-echodyne-echoflight-radar-integrated-into-aatis-bvlos-unmanned-aircraft
Epirus Finalizes Delivery of Four IFPC-HPM Systems to U.S. Army,"May 15, 2024",Epirus announced that it has delivered the final two of four total IFPC-HPM systems to the U.S. Army and successfully completed both NET and EDT with the U.S. Army.,https://www.microwavejournal.com/articles/41988-epirus-finalizes-delivery-of-four-ifpc-hpm-systems-to-us-army
BAE Systems to Develop Next-Generation Airborne Decoy Countermeasure,"May 15, 2024","BAE Systems has been selected by the U.S. Navy to develop Dual Band Decoy (DBD), one of the most advanced RF countermeasures in the world. 
",https://www.microwavejournal.com/articles/41985-bae-systems-to-develop-next-generation-airborne-decoy-countermeasure
BAE Systems Awarded $12M to Boost Effectiveness of RF-based Applications,"May 14, 2024",DARPA has awarded BAE Systems’ FAST LabsTM research and development organization a $12 million contract for the Technologies for Heat Removal in Electronics at the Device Scale (THREADS) program.,https://www.microwavejournal.com/articles/41953-bae-systems-awarded-12m-to-boost-effectiveness-of-rf-based-applications
SWISSto12 Supplies Northrop Grumman with Critical RF Products for GEOStar-3 Commercial Satellite Program,"May 13, 2024","SWISSto12 announced it has developed, qualified and delivered three fully-integrated RF antenna feed chains in various bands for the payload of Northrop Grumman's commercial GEOStar-3 satellite. ",https://www.microwavejournal.com/articles/41937-swissto12-supplies-northrop-grumman-with-critical-rf-products-for-geostar-3-commercial-satellite-program
Vishay Releases New Series of Space-Grade Planar Transformers,"May 8, 2024","Vishay Intertechnology, Inc. introduced a new series of low profile, space-grade planar transformers for power conversion applications. 
",https://www.microwavejournal.com/articles/41915-vishay-releases-new-series-of-space-grade-planar-transformers
Spectrum Control Announces New Direct RF Extension to SCi Blocks Family,"May 8, 2024","Spectrum Control Inc. announced a revolutionary new Direct RF extension to its SCi Blocks family of miniature, modular, and intelligent RF+Digital™ system building blocks.
",https://www.microwavejournal.com/articles/41914-spectrum-control-announces-new-direct-rf-extension-to-sci-blocks-family
ARKA to Join Satcoms Innovation Group,"May 8, 2024","The Satcoms Innovation Group (SIG) announced that ARKA Group, L.P. has joined the group as a full member. ",https://www.microwavejournal.com/articles/41912-arka-to-join-satcoms-innovation-group
CesiumAstro Selected by Rocket Lab to Provide Multi-Beam Ka-Band Communications Payloads ,"May 7, 2024",CesiumAstro was selected by Rocket Lab to provide its Vireo AESA RF communications payload for integration on 18 space vehicles supporting the Space Development Agency’s Tranche 2 Transport Layer. ,https://www.microwavejournal.com/articles/41907-cesiumastro-selected-by-rocket-lab-to-provide-multi-beam-ka-band-communications-payloads
dB Control Awarded $13M Contracts for High Voltage Power Supplies,"May 7, 2024","dB Control was awarded a $12 million contract for high voltage power supplies to support U.S. and foreign military missions using terrain avoidance radar in hostile environments and an additional $1 million contract for custom high voltage power supplies
",https://www.microwavejournal.com/articles/41905-db-control-awarded-13m-contracts-for-high-voltage-power-supplies
CAES to Support Advancement of U.S. Army’s Long Range Precision Fires with Precision Strike Sensor Core,"May 6, 2024","CAES is advancing a key U.S. Army modernization priority with the development of the Precision Strike Sensor Core, a state-of-the-art programmable transceiver.",https://www.microwavejournal.com/articles/41899-caes-to-support-advancement-of-us-armys-long-range-precision-fires-with-precision-strike-sensor-core
Anduril Announces Pulsar Family of AI-Enabled EW Systems,"May 6, 2024","Anduril Industries announced Pulsar, a first-of-its-kind family of modular, multi-mission-capable EW systems that utilize AI at the tactical edge to rapidly identify and defeat current and future threats across the electromagnetic spectrum.",https://www.microwavejournal.com/articles/41898-anduril-announces-pulsar-family-of-ai-enabled-ew-systems
ICEYE Announces API Enabling Customers to Directly Task Largest SAR Satellite Constellation,"May 6, 2024","ICEYE announced the launch of two new APIs that will give customers faster access to imagery from the world’s largest SAR satellite constellation through a self-driven, automated process.",https://www.microwavejournal.com/articles/41897-iceye-announces-api-enabling-customers-to-directly-task-largest-sar-satellite-constellation
Micross & Sital Announce Global Manufacturing & Distribution Partnership,"May 3, 2024","Micross is now the exclusive worldwide manufacturer, distributor and value-services provider of Sital’s best-in-class 1553 products.",https://www.microwavejournal.com/articles/41885-micross-and-sital-announce-global-manufacturing-and-distribution-partnership
Elbit Systems Awarded Approximately $50M Contract for New Air Defense System by an International Customer,"April 30, 2024","Elbit Systems announced it was awarded a contract in an amount of approximately $50 million for its new air defense system, “Red Sky,”™ by an international customer. ",https://www.microwavejournal.com/articles/41864-elbit-systems-awarded-approximately-50m-contract-for-new-air-defense-system-by-an-international-customer
