title,date,full_text,link
Silex Technology Announces New Wi-Fi HaLow Products ,"June 4, 2024","Silex Technology America, Inc. announced the high performance Wi-Fi HaLow™ products, AP-150AH and EX-150AH. 
",https://www.microwavejournal.com/articles/42085-silex-technology-announces-new-wi-fi-halow-products
Cable CPE Shipments Hit 20-Year Low Amid Rising North American Broadband Subscriber Losses,"May 30, 2024","According to a recently published report from Dell’Oro Group, total global revenue for the broadband access equipment market decreased to $4.1 billion in 1Q 2024, down 12 percent year-over-year.",https://www.microwavejournal.com/articles/42055-cable-cpe-shipments-hit-20-year-low-amid-rising-north-american-broadband-subscriber-losses
ADRF Reveals New Fiber-to-the-Edge ADXV LPR Wireless Solution at Connect X 2024,"May 13, 2024","Advanced RF Technologies, Inc. (ADRF) announced the new fiber-to-the-edge (FTTX) low power remote (LPR) unit for the ADXV Series DAS at Connect (X) 2024. ",https://www.microwavejournal.com/articles/41945-adrf-reveals-new-fiber-to-the-edge-adxv-lpr-wireless-solution-at-connect-x-2024
Enhancements Made to Key 5G Convergence Standards,"May 2, 2024","Major enhancements have been made for the advancement of next-generation applications, network resilience and support of converged services for residential customers thanks to Broadband Forum’s latest 5G work that is integrating wireless and wireline networks.",https://www.microwavejournal.com/articles/41881-enhancements-made-to-key-5g-convergence-standards
HPE Aruba Networking Introduces High-Capacity Wi-Fi 7 Access Points,"April 23, 2024","Hewlett Packard Enterprise (HPE) launched Wi-Fi 7 access points (APs) that provide up to 30 percent more capacity* for wireless traffic than competitive products. 
",https://www.microwavejournal.com/articles/41826-hpe-aruba-networking-introduces-high-capacity-wi-fi-7-access-points
Mini-Circuits Acquires CATV Amplifier Business from Analog Devices,"April 16, 2024",Mini-Circuits announced that it has acquired the CATV amplifier business from Analog Devices. ,https://www.microwavejournal.com/articles/41800-mini-circuits-acquires-catv-amplifier-business-from-analog-devices
Panasonic Introduces New mmWave Wi-Fi Solution Utilizing Peraso’s X710 Chipset Technology,"April 16, 2024","Peraso Inc. announced that Panasonic System Networks R&D Lab. Co., Ltd. (PSNRD) has adopted Peraso’s X710 chipset for its new 60 GHz WLAN solution.",https://www.microwavejournal.com/articles/41797-panasonic-introduces-new-mmwave-wi-fi-solution-utilizing-perasos-x710-chipset-technology
The Antenna Company Announces Support for Qualcomm’s FWA Ultra Gen-3 Platform,"March 27, 2024","The Antenna Company announced support for the Qualcomm® Fixed Wireless Access (FWA) Ultra Gen-3 platform.
",https://www.microwavejournal.com/articles/41712-the-antenna-company-announces-support-for-qualcomms-fixed-wireless-access-ultra-gen-3-platform
The Telecom Infra Project Graduates Open AFC Software Group,"March 26, 2024","The Telecom Infra Project (TIP) celebrated the achievements of the Open AFC Software Group, following the FCC approval of three operators — Broadcom, Wi-Fi Alliance Services and the Wireless Broadband Alliance — using the Open AFC software solution.",https://www.microwavejournal.com/articles/41707-the-telecom-infra-project-graduates-open-afc-software-group
Amphenol RF Introduces Wi-Fi 6E Antennas ,"March 20, 2024","Amphenol RF's new Wi-Fi 6E antennas are suitable for a wide range of applications, including smart homes, industrial automation, healthcare and more.",https://www.microwavejournal.com/articles/41678-amphenol-rf-introduces-wi-fi-6e-antennas
