title,date,full_text,link
TDK Launches Environmentally Sustainable Radio Wave Absorbers Using Biomass Material,"May 30, 2024","TDK Corporation announced its new radio wave absorber IS-BP series, containing more than 25 wt percent of biomass material, making it an environmentally sustainable option that enables CO₂ reduction. 
",https://www.microwavejournal.com/articles/42061-tdk-launches-environmentally-sustainable-radio-wave-absorbers-using-biomass-material
Space Grade EMI Filters Introduced by Spectrum Control,"March 15, 2024","Spectrum Control Inc. introduces space grade EMI filters that meet the stringent requirements of existing and emerging space technologies.
",https://www.microwavejournal.com/articles/41667-space-grade-emi-filters-introduced-by-spectrum-control
Rohde & Schwarz at EMV 2024,"March 5, 2024","At the EMV show 2024 in Cologne, Rohde & Schwarz showcases a comprehensive range of EMC test and measurement solutions, ranging from standalone instruments and software to application-specific systems. ",https://www.microwavejournal.com/articles/41592-rohde-and-schwarz-at-emv-2024
EMI Test Receiver:  EPL1000,"February 29, 2024","For both device developers and conformance test houses, the Rohde & Schwarz R&S EPL1000 EMI test receiver offers fast, accurate and reliable EMI compliance measurements up to 30 MHz. ",https://www.microwavejournal.com/articles/41557-with-click-rate-analysis-the-r-and-s-epl1000-emi-test-receiver-is-the-cost-effective-answer-to-cispr-14-1-compliance-testing
Rohde & Schwarz Announces UK Date for Demystifying EMC Seminar,"February 27, 2024","Rohde & Schwarz has announced details for the one-day UK seminar of its Demystifying EMC European tour, to be held at the Leonardo Hotel and Conference Venue, Hinckley Island, Leicestershire, on 21 March 2024. ",https://www.microwavejournal.com/articles/41546-rohde-and-schwarz-announces-uk-date-for-demystifying-emc-seminar
Rohde & Schwarz to Host Demystifying EMC Conference as Full Day Webinar in 2024,"January 23, 2024","Rohde & Schwarz will host its annual Demystifying EMC (DEMC2024) industry event on February 6, 2024. ",https://www.microwavejournal.com/articles/41374-rohde-and-schwarz-to-host-demystifying-emc-conference-as-full-day-webinar-in-2024
Spectrum Control Introduces Modular Power EMI Filters ,"January 22, 2024","Spectrum Control Inc., introduced a family of modular power EMI filters bringing high performance and design flexibility to a variety of MIL-STD-461 designs with SWaP-C requirements.",https://www.microwavejournal.com/articles/41373-spectrum-control-introduces-modular-power-emi-filters
Online Spotlight: Exploring EMI Filtering Options,"October 13, 2023","IDTechEx released the report ""EMI Shielding for Electronics 2024-2034: Forecasts, Technologies, Applications,"" exploring the current status and technology trends of EMI shielding for the electronics market. 
",https://www.microwavejournal.com/articles/40934-exploring-emi-filtering-options
IDTechEx Explores How EMI Shielding is Enabling Compact Electronics,"September 27, 2023",Spectrum Control introduces an emission security power EMI filter that features a unique space-saving design and effectively eliminates conducted EM interference emanations for an added level of data protection.,https://www.microwavejournal.com/articles/40886-idtechex-explores-how-emi-shielding-is-enabling-compact-electronics
Spectrum Control Introduces Emission Security Power EMI Filter,"September 19, 2023",N/A,https://www.microwavejournal.com/articles/40852-spectrum-control-introduces-emission-security-power-emi-filter
Saelig Introduces Select Fabricators Series 700 Rapid Deploying Inflatable EMI Shielded RF Enclosures,"September 5, 2023","The Select Fabricators Series 700 EMI Enclosures from Saelig Company, Inc.
are reliable, portable and lightweight in standard sizes with a fast-up inflatable frame, ready for operation in less than 60 seconds.
",https://www.microwavejournal.com/articles/40765-saelig-introduces-select-fabricators-series-700-rapid-deploying-inflatable-emi-shielded-rf-enclosures
Rohde & Schwarz Organizes EMC Design Challenge at EMC+SIPI 2023,"July 26, 2023","At EMC+SIPI 2023, Rohde & Schwarz will be showcasing a range of live demos and the ""Are you a genius?"" EMC Design Challenge in booth #415
, attendees their knowledge of electromagnetic compatibility issues to the test.",https://www.microwavejournal.com/articles/40588-rohde-and-schwarz-organizes-emc-design-challenge-at-emcsipi-2023
New Software Option Further Boosts Applications for BBA300 UWB RF Amplifier,"July 20, 2023","Rohde & Schwarz has introduced a new software package for its proven BBA300 RF amplifiers, designed for various test environments. ",https://www.microwavejournal.com/articles/40559-new-software-option-further-boosts-applications-for-bba300-uwb-rf-amplifier
Indonesia’s New National Telecoms Equipment Testing Hub Selects Spirent for IP Network Validation,"June 29, 2023",Indonesia’s new Telecommunication Equipment Testing Center (BBPPT) has selected Spirent Communications plc's technology to conduct high speed Ethernet network equipment and EMC testing. ,https://www.microwavejournal.com/articles/40496-indonesias-new-national-telecoms-equipment-testing-hub-selects-spirent-for-ip-network-validation
HR-R 8-1 – Forward-Thinking Magnetic Near-Field Probe up to 40 GHz,"May 2, 2023",The HR-R 8-1 magnetic field probe developed by Langer EMV-Technik GmbH is a new measurement and analysis tool for research and development of electronic assemblies and RF structures.,https://www.microwavejournal.com/articles/40074-hr-r-8-1-forward-thinking-magnetic-near-field-probe-up-to-40-ghz
New Spectrum Control Dual Line Common-Mode Panel-Mount EMI Filter Reduces Space and Weight,"April 24, 2023",Spectrum Control introduced a dual line common-mode panel-mount EMI filter that reduces space and weight by 50 percent compared to two single line filters. ,https://www.microwavejournal.com/articles/40038-new-spectrum-control-dual-line-common-mode-panel-mount-emi-filter-reduces-space-and-weight
Rohde & Schwarz Supplies Emitech's New Vehicle Test Center in France with its EMC Test System,"April 19, 2023","Emitech inaugurated its new vehicle test center in Montigny-le-Bretonneux, France, equipped with a complete EMC test system from Rohde & Schwarz.",https://www.microwavejournal.com/articles/39990-rohde-and-schwarz-supplies-emitechs-new-vehicle-test-center-in-france-with-its-emc-test-system
Rohde & Schwarz Expands its New Ultra-wideband RF Amplifier Family R&S BBA300,"March 29, 2023",Rohde & Schwarz has extended its R&S BBA300 RF amplifier portfolio with a new powerful 90 W model for CDE and DE series.,https://www.microwavejournal.com/articles/39891-rohde-and-schwarz-expands-its-new-ultra-wideband-rf-amplifier-family-r-and-s-bba300
Rohde & Schwarz Launches New EMI Test Receiver for Emission Measurements up to 30 MHz at EMV 2023,"March 23, 2023",Rohde & Schwarz's new R&S EPL1000 is a compact and complete CISPR 16-1-1 compliant test receiver for quick and precise EMI measurements up to 30 MHz.,https://www.microwavejournal.com/articles/39871-rohde-and-schwarz-launches-new-emi-test-receiver-for-emission-measurements-up-to-30-mhz-at-emv-2023
Rohde & Schwarz Announces UK Dates of the Demystifying EMC Global Tour,"March 20, 2023",Rohde & Schwarz has announced the U.K. dates and venues for the in-person Demystifying EMC Global Tour for April 25 in Reading and April 27 in Leeds. ,https://www.microwavejournal.com/articles/39846-rohde-and-schwarz-announces-uk-dates-of-the-demystifying-emc-global-tour
EMCE Measurements with New Isotropic Antenna up to 8 GHz from Rohde & Schwarz,"March 16, 2023",Rohde & Schwarz will present its new R&S TSEMF-B2E isotropic antenna for the TS-EMF measurement system at the EMV trade show in Stuttgart.,https://www.microwavejournal.com/articles/39835-emce-measurements-with-new-isotropic-antenna-up-to-8-ghz-from-rohde-and-schwarz
CAICT Selected R&S CMX500 OBT to Enable SPEAG DASY8 System for SAR and HAC Tests of 5G NR Devices,"March 14, 2023",The China Telecommunication Technology Labs (CTTL) Terminal labs at the China Academy of Information and Communications Technology (CAICT) selected the R&S CMX500 OBT wireless communication tester to complement their DASY8 dosimetric and near-field evaluation system from SPEAG. ,https://www.microwavejournal.com/articles/39810-caict-selected-r-and-s-cmx500-obt-to-enable-speag-dasy8-system-for-sar-and-hac-tests-of-5g-nr-devices
ART-Fi Launches New Products for Radiation Performance and Human Exposure Measurements,"March 1, 2023",ART-Fi announces a brand new product range that strengthens and extends its technology lead in real-time and accurate SAR(1) and OTA(2) test and measurements. ,https://www.microwavejournal.com/articles/39729-art-fi-launches-new-products-for-radiation-performance-and-human-exposure-measurements
Spectrum Control Announces Modular EMI Filters That Meet Global Regulations and Provide Cost and Time Efficiencies ,"January 25, 2023",Spectrum Control announces a family of modular AC power EMI filters that help satisfy global EMC regulations.,https://www.microwavejournal.com/articles/39536-spectrum-control-announces-modular-emi-filters-that-meet-global-regulations-and-provide-cost-and-time-efficiencies
Rohde & Schwarz to Stage Demystifying EMC Conference Online and in Person in 2023,"January 12, 2023","Rohde & Schwarz announced that its renowned Demystifying EMC (DEMC) virtual conference will take place from 7 to 8 February 2023 in Europe and 8 to 9 February in Asia Pacific and the Americas, followed by a series of in-person events around the world. ",https://www.microwavejournal.com/articles/39481-rohde-and-schwarz-to-stage-demystifying-emc-conference-online-and-in-person-in-2023
Block Unwanted EMI Signals from Your Shielded Facility,"January 9, 2023",Astrodyne TDI introduces the new F Series facility/shielded room power line filters featuring multiple design configurations including multi-line cabinet-style filter solutions and compact box-style single and dual-line filters.,https://www.microwavejournal.com/articles/39441-block-unwanted-emi-signals-from-your-shielded-facility
Turntide Leverages Ansys to Reduce Development Costs for Electric-Powered Construction Vehicles,"January 5, 2023","Turntide Technologies is leveraging Ansys solutions to produce electric vehicle powertrain components that help its customers transform commercial and industrial vehicles from gas and diesel engines to clean, quiet battery electric machines—a significant step towards achieving global net-zero goals.",https://www.microwavejournal.com/articles/39432-turntide-leverages-ansys-to-reduce-development-costs-for-electric-powered-construction-vehicles
Narda FieldMan – The Smart Future of Field Strength Measurement,"December 1, 2022","Narda has opened the door to the future of electromagnetic field measurements with the FieldMan. A handy, intuitive, easy to use instrument with its various digital probes. ",https://www.microwavejournal.com/articles/39277-narda-fieldman-the-smart-future-of-field-strength-measurement
AVL and Rohde & Schwarz Collaborate to Automate and Speed EMC Tests in Real Driving Conditions,"November 28, 2022","To ease and speed up the development process of EVs, AVL and Rohde & Schwarz present an innovative solution for automated EMC data analysis of an electric drivetrain under real driving conditions.",https://www.microwavejournal.com/articles/39258-avl-and-rohde-and-schwarz-collaborate-to-automate-and-speed-emc-tests-in-real-driving-conditions
New PA 2522 Preamplifier From Langer EMV-Technik GmbH  ,"July 28, 2022","The new PA 2522 preamplifier from Langer EMV-Technik GmbH amplifies low measurement signals over an extremely wide frequency range, from 10 MHz to 22 GHz. ",https://www.microwavejournal.com/articles/38614-new-pa-2522-preamplifier-from-langer-emv-technik-gmbh
Rohde & Schwarz Extends R&S ESW EMI Test Receiver Bandwidth to 1 GHz,"July 12, 2022",N/A,https://www.microwavejournal.com/articles/38530-rohde-and-schwarz-extends-r-and-s-esw-emi-test-receiver-bandwidth-to-1-ghz
Langer EMV-Technik GmbH Presents HR-E 40-1 Near-Field Probe,"July 1, 2022",Langer EMV-Technik GmbH presents the industry’s first passive near-field probe with a measuring range of up to 40 GHz.,https://www.microwavejournal.com/articles/38503-langer-emv-technik-gmbh-presents-hr-e-40-1-near-field-probe
Langer Releases HR-E 40-1 Near-Field Probe ,"June 2, 2022",Langer EMV-Technik GmbH releases the first passive near-field probe with a measuring range of up to 40 GHz. ,https://www.microwavejournal.com/articles/38261-langer-releases-hr-e-40-1-near-field-probe
Rohde & Schwarz Releases Ultra-Wideband RF Amplifier,"March 15, 2022",Rohde & Schwarz's new R&S BBA300 family provides a single amplifier solution that eliminates the need to switch instruments or bands during a test. ,https://www.microwavejournal.com/articles/37847-rohde-and-schwarz-releases-ultra-wideband-rf-amplifier
Rohde & Schwarz Furnishes CSA Group′s new European Headquarters' Labs with State-of-the-Art T&M Equipment,"January 27, 2022","CSA Group has built a new European headquarters in Plattling in the State of Bavaria, Germany, considerably expanding its testing capabilities for German and European customers. Rohde & Schwarz supplied the required test and measurement and amplifier equipment.",https://www.microwavejournal.com/articles/37512-rohde-and-schwarz-furnishes-csa-groups-new-european-headquarters-labs-with-state-of-the-art-t-and-m-equipment
"New EMI Fluorosilicone Added to QPL for MIL-DTL-83528, Type C","January 3, 2022","Specialty Silicone Products (SSP) introduces a new EMI fluorosilicone and announce that this high-durometer, electrically-conductive elastomer is now part of the Defense Logistics Agency’s (DLA) Qualified Product List (QPL) for MIL-DTL-83528, Type C.",https://www.microwavejournal.com/articles/37382-new-emi-fluorosilicone-added-to-qpl-for-mil-dtl-83528-type-c
Rohde & Schwarz Brings Back Demystifying EMC Conference in 2022 as Virtual Event for Global Audience,"December 17, 2021","Now in its eighth year, the R&S Demystifying EMC conference will be a virtual event January 25-27, 2022, with an easy-to-access mix of live conference with panel discussions, learning videos, a networking lounge and a virtual exhibition.",https://www.microwavejournal.com/articles/37343-rohde-and-schwarz-brings-back-demystifying-emc-conference-in-2022-as-virtual-event-for-global-audience
TÜV SÜD Invests £1.65M in New UK EMC Test Facility,"December 8, 2021","TÜV SÜD is investing £1.65 million in a 1,800m2 fully automated EMC and RF testing facility.",https://www.microwavejournal.com/articles/37265-tuv-sud-invests-165m-in-new-uk-emc-test-facility
Avoiding RF Interference with Simulation,"October 20, 2021","Any time that multiple RF systems are co-located, there is an opportunity for RF interference (RFI) to degrade or disrupt the performance of receivers. The impact of RFI includes decreased performance, delayed product releases, product recalls and safety-critical scenarios. RFI is a very serious matter that must be addressed throughout the design of products and systems.",https://www.microwavejournal.com/blogs/29-guest-blog/post/36975-avoiding-rf-interference-with-simulation
The PA 3010 Set from Langer EMV-Technik GmbH,"October 6, 2021","The Langer EMV-Technik product range has received an innovative addition to the preamplifier product line, the PA 3010. ",https://www.microwavejournal.com/articles/36880-the-pa-3010-set-from-langer-emv-technik-gmbh
Cinch Connectivity Solutions Announces Dura-Con Micro-D Top Entry EMI Backshells with Crimp Ferrules,"June 23, 2021",N/A,https://www.microwavejournal.com/articles/36257-cinch-connectivity-solutions-announces-dura-con-micro-d-top-entry-emi-backshells-with-crimp-ferrules
Ranatec Presents Its New High Performance RI 4901 EMI Ventilation Panel,"April 28, 2021","Ranatec's latest product innovation, the RI 4901 EMI ventilation panel, is developed for test houses and wireless device vendors, the high performance EMI ventilation panel provides a robust 105 dB shielding efficiency of up to 9 GHz. ",https://www.microwavejournal.com/articles/35897-ranatec-presents-its-new-high-performance-ri-4901-emi-ventilation-panel
TTE Filters Announces Instec “ML61” EMI/RFI Filter Series Attains MIL-PRF-28861 for Defense Applications,"April 22, 2021",TTE Filters announced that its Instec Filters brand ML61 EMI/RFI filters are now qualified to the U.S. Department of Defense DLA Land and Maritime’s MIL-PRF-28861 military standard. ,https://www.microwavejournal.com/articles/35863-tte-filters-announces-instec-ml61-emi-rfi-filter-series-attains-mil-prf-28861-for-defense-applications
Laird R&F Products Develops Lightweight and Corrosion-Resistant Microwave Absorbers,"March 16, 2021",Laird R&F Products has developed a series of lightweight and corrosion-resistant microwave absorbers that perform reliably at low frequencies and amid harsh environmental conditions.,https://www.microwavejournal.com/articles/35656-laird-rf-products-develops-lightweight-and-corrosion-resistant-microwave-absorbers
Rohde & Schwarz Demystifying EMC 2021 Schedule Announced,"February 1, 2021","Rohde & Schwarz has published the program for Demystifying EMC 2021, happening for the first time as an all-digital event, spanning three days from 9th to 11th February 2021.",https://www.microwavejournal.com/articles/35373-rohde-schwarz-demystifying-emc-2021-schedule-announced
Keysight’s 5G Device Test Solutions Selected by MRT for Regulatory Testing,"December 15, 2020","Keysight Technologies, Inc. announced that MRT, a provider of RF and electromagnetic compatibility (EMC) certification services, has selected Keysight's 5G test solutions for regulatory testing of 5G devices.",https://www.microwavejournal.com/articles/35169-keysights-5g-device-test-solutions-selected-by-mrt-for-regulatory-testing
Demystifying EMC Conference Goes Virtual in 2021,"December 15, 2020","Rohde & Schwarz announced that the seventh edition of its Demystifying EMC conference will go virtual, offering participants the opportunity to engage with industry experts through Europe and beyond. ",https://www.microwavejournal.com/articles/35164-demystifying-emc-conference-goes-virtual-in-2021
Millimeter Waves Technologies and Challenges for EMC & Wireless,"November 23, 2020","The development of 5G communications, sophisticated sensing, and radio-determination applications are pushing designers and developers into higher frequency bands. The bands that were once reserved for satellite communications and radar applications are now being opened for broadband solutions and are becoming more commonly integrated in everyday devices.",https://www.microwavejournal.com/articles/34918-millimeter-waves-technologies-and-challenges-for-emc-wireless
"AR's Predefined Test Systems Enable Quick, Accurate Testing to Common EMC and Wireless Component Standards","November 16, 2020","A complete range of predefined systems for testing to the latest EMC military, commercial and automotive standards as well as wireless component testing.",https://www.microwavejournal.com/articles/34995-ars-predefined-test-systems-enable-quick-accurate-testing-to-common-emc-and-wireless-component-standards
Richardson Electronics Strengthens RF Offering with Masach Tech EMI/RFI Shields,"November 5, 2020","Richardson Electronics, Ltd. strengthens its RF offering with Masach Tech™ EMI/RFI shields. These rigid, very planar parts are designed for reflow solder and have a removable lid to allow for much easier component troubleshooting and repair.",https://www.microwavejournal.com/articles/34913-richardson-electronics-strengthens-rf-offering-with-masach-tech-emirfi-shields
